band,time_s,avg_density,avg_blp,avg_corr,smoothing_sec,corr_window_sec,window_length_sec,sampling_rate,corr_threshold
alpha,108.65625,0.4968100020231193,5.605025762633886e-06,0.3799845016233849,1,5,0.25,1024,0.82
alpha,109.65625,0.6899627309056445,5.59194631932769e-06,0.4661392956569434,1,5,0.25,1024,0.82
alpha,110.65625,0.1642728552696689,6.028476946084993e-06,0.6687377582657066,1,5,0.25,1024,0.82
alpha,111.65625,0.4933131167407496,7.094537977536675e-06,0.6888324950328022,1,5,0.25,1024,0.82
alpha,112.65625,0.6124397049277535,8.282960152428132e-06,0.6412825503878044,1,5,0.25,1024,0.82
alpha,113.65625,0.9016298925430414,8.956320925790351e-06,0.574226228028257,1,5,0.25,1024,0.82
alpha,114.65625,0.8435621889988254,9.236637197318489e-06,0.4412507840332624,1,5,0.25,1024,0.82
alpha,115.65625,0.5993019701511844,9.42267524806084e-06,0.4648639877588582,1,5,0.25,1024,0.82
alpha,116.65625,0.9302022730361753,9.709229743748438e-06,0.6719536792654701,1,5,0.25,1024,0.82
alpha,117.65625,0.1033657305294512,1.0382816071796697e-05,0.912325808516572,1,5,0.25,1024,0.82
alpha,118.65625,0.867531309365376,1.130669807025697e-05,0.9325465522565932,1,5,0.25,1024,0.82
alpha,119.65625,0.3037857308407047,1.1906106919923332e-05,0.828562784199743,1,5,0.25,1024,0.82
alpha,120.65625,0.14993383818810913,1.2016212167509366e-05,0.7354102743018692,1,5,0.25,1024,0.82
alpha,121.65625,0.8622149953186775,1.1660149539238772e-05,0.655786882449075,1,5,0.25,1024,0.82
alpha,122.65625,0.890538724292804,1.0887242751778103e-05,0.4612870229711308,1,5,0.25,1024,0.82
alpha,123.65625,0.14592214115112948,1.0183632184634916e-05,0.1580446289646022,1,5,0.25,1024,0.82
alpha,124.65625,0.403812609689148,9.830457202042451e-06,0.1145782351994732,1,5,0.25,1024,0.82
alpha,125.65625,0.4034123850924549,9.58510827331338e-06,0.1378178437081823,1,5,0.25,1024,0.82
alpha,126.65625,0.5619378225920882,9.260844308300877e-06,0.1660294608136487,1,5,0.25,1024,0.82
alpha,127.65625,0.707590029788363,8.928248462325428e-06,0.196975218431031,1,5,0.25,1024,0.82
alpha,128.65625,0.2411623315820886,8.644548870506696e-06,0.2941544392977401,1,5,0.25,1024,0.82
alpha,129.65625,0.4970962554060131,8.507636266585905e-06,0.4617137478695304,1,5,0.25,1024,0.82
alpha,130.65625,0.4583688462246509,8.376834557566326e-06,0.6201566819084021,1,5,0.25,1024,0.82
alpha,131.65625,0.13649831668550103,8.099954357021488e-06,0.5156580833669923,1,5,0.25,1024,0.82
alpha,132.65625,0.36234862487480335,8.201262062357273e-06,0.3799020042946338,1,5,0.25,1024,0.82
alpha,133.65625,0.8339001303892637,8.9225914052804e-06,0.4614395865451596,1,5,0.25,1024,0.82
alpha,134.65625,0.7530294239511406,9.74825888988562e-06,0.586590218308378,1,5,0.25,1024,0.82
alpha,135.65625,0.831623935822554,1.0634083082550204e-05,0.642862304910975,1,5,0.25,1024,0.82
alpha,136.65625,0.862332573224804,1.1593501767492851e-05,0.393066796095897,1,5,0.25,1024,0.82
alpha,137.65625,0.23656711844046624,1.2172643437224906e-05,0.057624791388051,1,5,0.25,1024,0.82
alpha,138.65625,0.7565111631575383,1.2370737749733962e-05,0.0032021241953583,1,5,0.25,1024,0.82
alpha,139.65625,0.32628501249692077,1.284354402741883e-05,-0.0235242507096314,1,5,0.25,1024,0.82
alpha,140.65625,0.8803071584403804,1.3171459613658952e-05,0.1181079185292218,1,5,0.25,1024,0.82
alpha,141.65625,0.1736158453058137,1.283641904592514e-05,0.4653701887061298,1,5,0.25,1024,0.82
alpha,142.65625,0.497295493097601,1.2050209079461638e-05,0.7883412229796826,1,5,0.25,1024,0.82
